"","word","n"
"941","solicitation",1
"942","soliciting",1
"943","speed",1
"944","spitting",1
"945","st",13
"946","stabbing",1
"947","stalking",5
"948","statement",109
"949","statment",1
"950","statute",3
"951","stmnt",1
"952","stmt",24
"953","sto",1
"954","stolen",158
"955","stop",19
"956","stor",2
"957","store",278
"958","stun",5
"959","suboxine",1
"960","suboxne",1
"961","suboxone",6
"962","sus",1
"963","susp",15
"964","susp.lic",3
"965","suspendd",1
"966","suspende",1
"967","suspended",119
"968","suspendedlic",2
"969","suspendedlicense",1
"970","ta",2
"971","tag",1
"972","tags",6
"973","takin",2
"974","taking",144
"975","tasser",1
"976","taxi",1
"977","tazer",1
"978","tel",70
"979","tele",1
"980","telephone",1
"981","temp",8
"982","temporary",2
"983","tenn",1
"984","texas",2
"985","theater",1
"986","theft",2204
"987","theft:less",6
"988","theftless",1
"989","therapists",2
"990","thes",1
"991","thfet",1
"992","thr",1
"993","threat",67
"994","threats",4
"995","thrt",1
"996","time",1
"997","tools",2
"998","trade",1
"999","traf",39
"1000","traffic",9
"1001","trafficking",8
"1002","train",3
"1003","transfer",1
"1004","trash",1
"1005","trepass",2
"1006","trepassing",6
"1007","trespas",8
"1008","trespasing",1
"1009","trespass",338
"1010","trespass:private",1
"1011","trespassiing",1
"1012","trespassing",199
"1013","trespassisng",1
"1014","tresspasing",1
"1015","tresspass",2
"1016","tresspassing",31
"1017","unared",1
"1018","unarmed",43
"1019","unatended",1
"1020","unatherized",1
"1021","unathorize",1
"1022","unathorized",1
"1023","unathurized",1
"1024","unatten",1
"1025","unattended",18
"1026","unattened",1
"1027","unauth",15
"1028","unauthized",1
"1029","unauthorize",1
"1030","unauthorized",21
"1031","unauthorizied",1
"1032","und",178
"1033","under1,000.00",1
"1034","uni",1
"1035","uniformed",1
"1036","uninsured",4
"1037","unknown",1091
"1038","unlawfu",2
"1039","unlawful",146
"1040","unlicensed",2
"1041","unnatended",1
"1042","unsupervised",1
"1043","urinating",2
"1044","urination",1
"1045","utah",1
"1046","utter",4
"1047","uttering",21
"1048","va",11
"1049","vacant",1
"1050","vagabond",35
"1051","vagavon",1
"1052","val",3
"1053","valu",283
"1054","vandalism",1
"1055","ve",1
"1056","vech",1
"1057","vechicle",2
"1058","vegabond",1
"1059","veh",161
"1060","vehcile",1
"1061","vehic",1
"1062","vehicl",20
"1063","vehicle",70
"1064","verbal",2
"1065","vide",1
"1066","vilation",1
"1067","viloation",1
"1068","vilolation",1
"1069","vio",6
"1070","vioaltion",8
"1071","viol",28
"1072","violaltion",1
"1073","violat",1
"1074","violate",188
"1075","violati",2
"1076","violatiion",2
"1077","violation",3640
"1078","violations",2
"1079","violaton",3
"1080","violattion",1
"1081","violence",2
"1082","violtaion",1
"1083","violtion",1
"1084","vir",1
"1085","virgin",10
"1086","virgina",4
"1087","virgini",1
"1088","virginia",35
"1089","virigina",1
"1090","voilation",1
"1091","vol",1
"1092","voliation",1
"1093","vop",42
"1094","w.int",1
"1095","w.v",1
"1096","wages",22
"1097","water",1
"1098","weap",1
"1099","weapn",1
"1100","weapon",172
"1101","welfare",2
"1102","west",1
"1103","wint",2
"1104","witness",34
"1105","wo",2
"1106","worthless",1
"1107","wpns",1
"1108","xanax",4
"1109","york",3
"1110","znd",1
